"","x"
"1",0.0119071174764744
"2",0.0117677971397564
"3",0.0117855965862702
"4",0.0118082672030945
"5",0.0118324019847152
"6",0.0118578909328828
"7",0.0118841480513166
"8",0.0119108207324353
"9",0.0119375532774934
"10",0.0119645851723902
"11",0.0119922780132879
"12",0.012019674277954
"13",0.0120468921310788
"14",0.0120748962489034
"15",0.0121027233595873
"16",0.0121301292725259
"17",0.0121566243935676
"18",0.0121829336423457
"19",0.0122088112863618
"20",0.0122346215016424
"21",0.0122604862813844
"22",0.0122859140880499
"23",0.0123115177992101
"24",0.0123381622667964
"25",0.0123639985545284
"26",0.0123896410419176
"27",0.0124160819590133
"28",0.0124414590462277
"29",0.0124670127288811
"30",0.0124928688639551
"31",0.0125176514376834
"32",0.0125416047341401
"33",0.0125662325240915
"34",0.0125895229131979
"35",0.0126115943503142
"36",0.0126331987496361
"37",0.0126528137630167
"38",0.0126708102290253
"39",0.0126869268902006
"40",0.0127039543694723
"41",0.0127189669568861
"42",0.0127296619599987
"43",0.0127398554891048
"44",0.0127472473635139
"45",0.0127519598722165
"46",0.0127524553925345
"47",0.012750266181077
"48",0.0127441148219007
"49",0.0127294063984403
"50",0.0127147149504799
"51",0.0126935396448158
"52",0.012666418636418
"53",0.012636307988615
"54",0.0126003149179696
"55",0.0125589926070357
"56",0.0125054670435069
"57",0.012457936585073
"58",0.0124019691834557
"59",0.01232872245891
"60",0.0122499756631898
"61",0.0121601879058792
"62",0.0120592332108873
"63",0.0119533136582833
"64",0.011830229526759
"65",0.0117007038121977
"66",0.0115564086546759
"67",0.0113943135198777
"68",0.0112099326131302
"69",0.0110175219640235
"70",0.0108013530911352
"71",0.0105641951015716
"72",0.0103049200560801
"73",0.0100181232015536
"74",0.00970204749236169
"75",0.00936472219480761
"76",0.00898589366001701
"77",0.00859302208205052
"78",0.00816210740783697
"79",0.00770976116794414
"80",0.00724167415991417
"81",0.00674973518828228
"82",0.00623924610690434
"83",0.0057144490369969
"84",0.00518057308323934
"85",0.00464557364491771
"86",0.00410905179957981
"87",0.00358440164900071
"88",0.00308060017888505
"89",0.00261570731168345
"90",0.00218244996939881
"91",0.00179104685322805
"92",0.00143419673066687
"93",0.00112981187682815
"94",0.000871497531300729
"95",0.000651143242822151
"96",0.000469989202491947
"97",0.000334932089113756
"98",0.000232224979094689
"99",0.000156496565658894
"100",0.000102413193378217
"101",0.000169285895573995
